!SIL 1.0	SIL
<UNK> 1.0	SPN
mbambali 1.0	BB a BB a l i
mbande 1.0	BB a DD e
mbando 1.0	BB a DD o
mbanga 1.0	BB a GG a
mbangu 1.0	BB a GG u
mbangwa 1.0	BB a GG w a
mbano 1.0	BB a n o
mbao 1.0	BB a o
mbapo 1.0	BB a p o
mbarak 1.0	BB a r a k
mbarak(4) 1.0	BB a r a k i
mbaraka 1.0	BB a r a k a
mbarala 1.0	BB a r a l a
mbaralah 1.0	BB a r a l a h
mbarali 1.0	BB a r a l i
mbarara 1.0	BB a r a r a
mbare 1.0	BB a r e
mbari 1.0	BB a r i
mbaroni 1.0	BB a r o n i
mbarouk 1.0	BB a r o u k
mbarouk(4) 1.0	BB a r o u k i
mbaruku 1.0	BB a r u k u
mbasa 1.0	BB a s a
mbasha 1.0	BB a SS a
mbassa 1.0	BB a s s a
mbata 1.0	BB a t a
mbatata 1.0	BB a t a t a
mbati 1.0	BB a t i
mbatia 1.0	BB a t i a
mbauda 1.0	BB a u d a
mbavu 1.0	BB a v u
mbavuni 1.0	BB a v u n i
mbavyo 1.0	BB a v y o
mbawa 1.0	BB a w a
mbawala 1.0	BB a w a l a
mbaya 1.0	BB a y a
mbaye 1.0	BB a y e
mbayo 1.0	BB a y o
mbayuwayu 1.0	BB a y u w a y u
mbazi 1.0	BB a z i
mbazo 1.0	BB a z o
mbe 1.0	BB e
mbea 1.0	BB e a
mbeba 1.0	BB e b a
mbebaji 1.0	BB e b a j i
mbega 1.0	BB e g a
mbegani 1.0	BB e g a n i
mbege 1.0	BB e g e
mbegu 1.0	BB e g u
mbeki 1.0	BB e k i
mbeki(2) 1.0	m b e k i
mbele 1.0	BB e l e
mbeleko 1.0	BB e l e k o
mbeleni 1.0	BB e l e n i
mbella 1.0	BB e l l a
mbelle 1.0	BB e l l e
mbelwa 1.0	BB e l w a
mbena 1.0	BB e n a
mbene 1.0	BB e n e
mbennah 1.0	BB e n n a h
mberito 1.0	BB e r i t o
mberwa 1.0	BB e r w a
mbesa 1.0	BB e s a
mbeta 1.0	BB e t a
mbewe 1.0	BB e w e
mbeya 1.0	BB e y a
mbezi 1.0	BB e z i
mbia 1.0	BB i a
mbichi 1.0	BB i CC i
mbigili 1.0	BB i g i l i
mbiki 1.0	BB i k i
mbila 1.0	BB i l a
mbili 1.0	BB i l i
mbilia 1.0	BB i l i a
mbilimbili 1.0	BB i l i BB i l i
mbilinyi 1.0	BB i l i n y i
mbinafsi 1.0	BB i n a f s i
mbinde 1.0	BB i DD e
mbinga 1.0	BB i GG a
mbingu 1.0	BB i GG u
mbinguni 1.0	BB i GG u n i
mbinja 1.0	BB i JJ a
mbinu 1.0	BB i n u
mbinyo 1.0	BB i n y o
mbio 1.0	BB i o
mbioni 1.0	BB i o n i
mbise 1.0	BB i s e
mbishi 1.0	BB i SS i
mbita 1.0	BB i t a
mbiu 1.0	BB i u
mbivu 1.0	BB i v u
mbizi 1.0	BB i z i
mbizo 1.0	BB i z o
mboga 1.0	BB o g a
mbogamboga 1.0	BB o g a BB o g a
mbogo 1.0	BB o g o
mbogoro 1.0	BB o g o r o
mbogwe 1.0	BB o g w e
mboje 1.0	BB o j e
mboji 1.0	BB o j i
mbola 1.0	BB o l a
mbole 1.0	BB o l e
mbolea 1.0	BB o l e a
mboma 1.0	BB o m a
mbomipa 1.0	BB o m i p a
mbona 1.0	BB o n a
mbonde 1.0	BB o DD e
mbonea 1.0	BB o n e a
mbongo 1.0	BB o GG o
mboni 1.0	BB o n i
mbonile 1.0	BB o n i l e
mbono 1.0	BB o n o
mboto 1.0	BB o t o
mbovu 1.0	BB o v u
mbowe 1.0	BB o w e
mboya 1.0	BB o y a
mbozi 1.0	BB o z i
mbrazil 1.0	BB r a z i l
mbrazil(4) 1.0	BB r a z i l i
mbrazili 1.0	BB r a z i l i
mbu 1.0	BB u
mbuga 1.0	BB u g a
mbugani 1.0	BB u g a n i
mbuge 1.0	BB u g e
mbugi 1.0	BB u g i
mbugua 1.0	BB u g u a
mbuguni 1.0	BB u g u n i
mbuguyu 1.0	BB u g u y u
mbulgaria 1.0	BB u l g a r i a
mbulu 1.0	BB u l u
mbululo 1.0	BB u l u l o
mbumbumbu 1.0	BB u BB u BB u
mbumi 1.0	BB u m i
mbuna 1.0	BB u n a
mbunda 1.0	BB u DD a
mbunga 1.0	BB u GG a
mbunge 1.0	BB u GG e
mbuni 1.0	BB u n i
mbunifu 1.0	BB u n i f u
mbura 1.0	BB u r a
mburahati 1.0	BB u r a h a t i
mburia 1.0	BB u r i a
mburu 1.0	BB u r u
mbushi 1.0	BB u SS i
mbusuro 1.0	BB u s u r o
mbutu 1.0	BB u t u
mbuya 1.0	BB u y a
mbuyu 1.0	BB u y u
mbuyuni 1.0	BB u y u n i
mbuzi 1.0	BB u z i
mbwa 1.0	BB w a
mbwambo 1.0	BB w a BB o
mbwana 1.0	BB w a n a
mbweha 1.0	BB w e h a
mbwembwe 1.0	BB w e BB w e
mbweni 1.0	BB w e n i
mbwete 1.0	BB w e t e
mbwette 1.0	BB w e t t e
mbwewe 1.0	BB w e w e
mbwezeleni 1.0	BB w e z e l e n i
mbwiga 1.0	BB w i g a
mbwilinge 1.0	BB w i l i GG e
mbwilo 1.0	BB w i l o
mc 1.0	m k
mc(2) 1.0	m i k
mc(3) 1.0	e m s i
mc(4) 1.0	m k i
mca 1.0	m k a
mca(3) 1.0	e m s i e
mcameroon 1.0	m k a m e r o o n
mcameroon(4) 1.0	m k a m e r o o n i
mcc 1.0	m k k
mcc(3) 1.0	e m s i s i
mcc(4) 1.0	m k k i
mccain 1.0	m k k a i n
mccain(2) 1.0	m e k e y n
mccain(4) 1.0	m k k a i n i
mccarthy 1.0	m k k a r TT y
mccarthy(2) 1.0	m e k a r TT i
mccartney 1.0	m k k a r t n e y
mccartney(2) 1.0	m e k a r t n i
mcchrystal 1.0	m k CC r y s t a l
mcchrystal(4) 1.0	m k CC r y s t a l i
mcclaren 1.0	m k k l a r e n
mcclaren(2) 1.0	m e k l e r e n
mcclaren(4) 1.0	m k k l a r e n i
mcdonald 1.0	m k d o n a l d
mcdonald(2) 1.0	m e k d a n e l d
mcdonald(4) 1.0	m k d o n a l d i
mch 1.0	m CC
mch(3) 1.0	e m s i e j
mch(4) 1.0	m CC i
mcha 1.0	m CC a
mchache 1.0	m CC a CC e
mchafu 1.0	m CC a f u
mchafuko 1.0	m CC a f u k o
mchafukoge 1.0	m CC a f u k o g e
mchafuzi 1.0	m CC a f u z i
mchaga 1.0	m CC a g a
mchague 1.0	m CC a g u e
mchagueni 1.0	m CC a g u e n i
mchaka 1.0	m CC a k a
mchakamchaka 1.0	m CC a k a m CC a k a
mchakato 1.0	m CC a k a t o
mchaki 1.0	m CC a k i
mchambuzi 1.0	m CC a BB u z i
mchana 1.0	m CC a n a
mchanga 1.0	m CC a GG a
mchangamano 1.0	m CC a GG a m a n o
mchangamfu 1.0	m CC a GG a m f u
mchangani 1.0	m CC a GG a n i
mchanganuo 1.0	m CC a GG a n u o
mchanganyiko 1.0	m CC a GG a n y i k o
mchangiaji 1.0	m CC a GG i a j i
mchango 1.0	m CC a GG o
mchanjama 1.0	m CC a JJ a m a
mchanyato 1.0	m CC a n y a t o
mchapa 1.0	m CC a p a
mchapaji 1.0	m CC a p a j i
mchapakazi 1.0	m CC a p a k a z i
mchapishaji 1.0	m CC a p i SS a j i
mcharazaji 1.0	m CC a r a z a j i
mcharo 1.0	m CC a r o
mchau 1.0	m CC a u
mchauru 1.0	m CC a u r u
mchawi 1.0	m CC a w i
mche 1.0	m CC e
mchecheto 1.0	m CC e CC e t o
mchechu 1.0	m CC e CC u
mchekeshaji 1.0	m CC e k e SS a j i
mchele 1.0	m CC e l e
mchelea 1.0	m CC e l e a
mchemba 1.0	m CC e BB a
mchengelwa 1.0	m CC e GG e l w a
mchepuo 1.0	m CC e p u o
mcheshi 1.0	m CC e SS i
mcheza 1.0	m CC e z a
mchezaji 1.0	m CC e z a j i
mchezeshaji 1.0	m CC e z e SS a j i
mchezji 1.0	m CC e z j i
mchezo 1.0	m CC e z o
mchezoni 1.0	m CC e z o n i
mchi 1.0	m CC i
mchicha 1.0	m CC i CC a
mchiela 1.0	m CC i e l a
mchikichini 1.0	m CC i k i CC i n i
mchimba 1.0	m CC i BB a
mchimbaji 1.0	m CC i BB a j i
mchina 1.0	m CC i n a
mchinga 1.0	m CC i GG a
mchiriku 1.0	m CC i r i k u
mchizi 1.0	m CC i z i
mchochezi 1.0	m CC o CC e z i
mchokonozi 1.0	m CC o k o n o z i
mchokozi 1.0	m CC o k o z i
mchomba 1.0	m CC o BB a
mchombe 1.0	m CC o BB e
mchome 1.0	m CC o m e
mchomvu 1.0	m CC o VV u
mchonga 1.0	m CC o GG a
mchongaji 1.0	m CC o GG a j i
mchongo 1.0	m CC o GG o
mchopa 1.0	m CC o p a
mchora 1.0	m CC o r a
mchoraji 1.0	m CC o r a j i
mchoro 1.0	m CC o r o
mchovu 1.0	m CC o v u
mchoyo 1.0	m CC o y o
mchuano 1.0	m CC u a n o
mchuchuma 1.0	m CC u CC u m a
mchujo 1.0	m CC u j o
mchukue 1.0	m CC u k u e
mchuma 1.0	m CC u m a
mchumba 1.0	m CC u BB a
mchume 1.0	m CC u m e
mchumi 1.0	m CC u m i
mchumia 1.0	m CC u m i a
mchumo 1.0	m CC u m o
mchundo 1.0	m CC u DD o
mchunga 1.0	m CC u GG a
mchungaji 1.0	m CC u GG a j i
mchungu 1.0	m CC u GG u
mchunguliaji 1.0	m CC u GG u l i a j i
mchunguzi 1.0	m CC u GG u z i
mchuuzi 1.0	m CC u u z i
mchuzi 1.0	m CC u z i
mchwa 1.0	m CC w a
mcintire 1.0	m k i n t i r e
mcintire(2) 1.0	m a k i n t a y r
mckinnon 1.0	m k i n n o n
mckinnon(2) 1.0	m e k i n e n
mckinnon(4) 1.0	m k i n n o n i
mcl 1.0	m k l
mcl(3) 1.0	e m s i e l
mcl(4) 1.0	m k l i
mcroatia 1.0	m k r o a t i a
mct 1.0	m k t
mct(3) 1.0	e m s i t i
mct(4) 1.0	m k t i
mcuba 1.0	m k u b a
md 1.0	m d
md(3) 1.0	e m d i
md(4) 1.0	m d i
mda 1.0	m d a
mda(3) 1.0	e m d i e
mdachi 1.0	m d a CC i
mdada 1.0	m d a d a
mdadisi 1.0	m d a d i s i
mdahalo 1.0	m d a h a l o
mdai 1.0	m d a i
mdai(3) 1.0	e m d i e a y
mdaiwa 1.0	m d a i w a
mdaku 1.0	m d a k u
mdalasini 1.0	m d a l a s i n i
mdamo 1.0	m d a m o
mdau 1.0	m d a u
mdau(3) 1.0	e m d i e y u
mdaula 1.0	m d a u l a
mdc 1.0	m d k
mdc(3) 1.0	e m d i s i
mdc(4) 1.0	m d k i
mdebwedo 1.0	m d e b w e d o
mdee 1.0	m d e e
mdee(3) 1.0	e m d i i i
mdegela 1.0	m d e g e l a
mdegella 1.0	m d e g e l l a
mdemu 1.0	m d e m u
mdeni 1.0	m d e n i
mdenmark 1.0	m d e n m a r k
mdenmark(4) 1.0	m d e n m a r k i
mdg 1.0	m d g
mdg(3) 1.0	e m d i j i
mdg(4) 1.0	m d g i
mdgs 1.0	m d g s
mdgs(3) 1.0	e m d i j i e s
mdgs(4) 1.0	m d g s i
mdhamini 1.0	m LL a m i n i
mdharau 1.0	m LL a r a u
mdhibiti 1.0	m LL i b i t i
mdimu 1.0	m d i m u
mdingi 1.0	m d i GG i
mdini 1.0	m d i n i
mdoe 1.0	m d o e
mdoe(3) 1.0	e m d i o i
mdogo 1.0	m d o g o
mdogomdogo 1.0	m d o g o m d o g o
mdomo 1.0	m d o m o
mdomoni 1.0	m d o m o n i
mdondoko 1.0	m d o DD o k o
mdororo 1.0	m d o r o r o
mdosi 1.0	m d o s i
mdr 1.0	m d r
mdr(3) 1.0	e m d i a r
mdr(4) 1.0	m d r i
mdtf 1.0	m d t f
mdtf(3) 1.0	e m d i t i e f
mdtf(4) 1.0	m d t f u
mduara 1.0	m d u a r a
mdudu 1.0	m d u d u
mduma 1.0	m d u m a
mdundiko 1.0	m d u DD i k o
mdundo 1.0	m d u DD o
me 1.0	m e
means 1.0	m e a n s
means(2) 1.0	m i n z
means(4) 1.0	m e a n s i
meat 1.0	m e a t
meat(2) 1.0	m i t
meat(4) 1.0	m e a t i
meatu 1.0	m e a t u
mecca 1.0	m e k k a
mecca(2) 1.0	m e k e
mecco 1.0	m e k k o
mechanism 1.0	m e CC a n i s m
mechanism(2) 1.0	m e k e n i z e m
mechanism(4) 1.0	m e CC a n i s m u
mechi 1.0	m e CC i
mechmar 1.0	m e CC m a r
mechmar(4) 1.0	m e CC m a r i
meck 1.0	m e k
meck(2) 1.0	m e k
meck(3) 1.0	e m i s i k e
meck(4) 1.0	m e k i
mecky 1.0	m e k y
med 1.0	m e d
med(2) 1.0	m e d
med(4) 1.0	m e d i
medali 1.0	m e d a l i
medani 1.0	m e d a n i
medard 1.0	m e d a r d
medard(4) 1.0	m e d a r d i
meddy 1.0	m e d d y
medecins 1.0	m e d e k i n s
medecins(2) 1.0	m e d i s i n z
medecins(4) 1.0	m e d e k i n s i
medeye 1.0	m e d e y e
media 1.0	m e d i a
media(2) 1.0	m i d i e
median 1.0	m e d i a n
median(2) 1.0	m i d i e n
median(4) 1.0	m e d i a n i
medic 1.0	m e d i k
medic(2) 1.0	m e d i k
medic(4) 1.0	m e d i k i
medical 1.0	m e d i k a l
medical(2) 1.0	m e d e k e l
medical(4) 1.0	m e d i k a l i
medicine 1.0	m e d i k i n e
medicine(2) 1.0	m e d e s e n
mediterranean 1.0	m e d i t e r r a n e a n
mediterranean(2) 1.0	m e d e t e r e y n i e n
mediterranean(4) 1.0	m e d i t e r r a n e a n i
medium 1.0	m e d i u m
medium(2) 1.0	m i d i e m
medium(4) 1.0	m e d i u m u
medupi 1.0	m e d u p i
medvedev 1.0	m e d v e d e v
medvedev(2) 1.0	m e d v e d e v
medvedev(4) 1.0	m e d v e d e v u
meeda 1.0	m e e d a
meela 1.0	m e e l a
meena 1.0	m e e n a
meert 1.0	m e e r t
meert(2) 1.0	m i r t
meert(4) 1.0	m e e r t i
meeting 1.0	m e e t i GG
meeting(2) 1.0	m i t i GG
meeting(4) 1.0	m e e t i GG i
mega 1.0	m e g a
megawati 1.0	m e g a w a t i
megawatt 1.0	m e g a w a t t
megawatt(2) 1.0	m e g e w a t
megawatt(4) 1.0	m e g a w a t t i
meghji 1.0	m e RR j i
megrahi 1.0	m e g r a h i
mehd 1.0	m e h d
mehd(3) 1.0	e m i e j d i
mehd(4) 1.0	m e h d i
mehdi 1.0	m e h d i
mehdi(2) 1.0	m e d i
mei 1.0	m e i
mei(2) 1.0	m a y
meireles 1.0	m e i r e l e s
meireles(4) 1.0	m e i r e l e s i
meitinyiku 1.0	m e i t i n y i k u
meja 1.0	m e j a
mekon 1.0	m e k o n
mekon(4) 1.0	m e k o n i
mekong 1.0	m e k o GG
mekong(2) 1.0	m e y k a GG
mekong(4) 1.0	m e k o GG i
mekundu 1.0	m e k u DD u
melamine 1.0	m e l a m i n e
melamine(2) 1.0	m e l e m i n
melau 1.0	m e l a u
melbourne 1.0	m e l b o u r n e
melbourne(2) 1.0	m e l b e r n
melchior 1.0	m e l CC i o r
melchior(2) 1.0	m e y l CC i e r
melchior(4) 1.0	m e l CC i o r i
melela 1.0	m e l e l a
melele 1.0	m e l e l e
melengo 1.0	m e l e GG o
meles 1.0	m e l e s
meles(4) 1.0	m e l e s i
meli 1.0	m e l i
melinda 1.0	m e l i DD a
melinda(2) 1.0	m e l i n d e
melini 1.0	m e l i n i
melisa 1.0	m e l i s a
melissa 1.0	m e l i s s a
melissa(2) 1.0	m e l i s e
mello 1.0	m e l l o
mello(2) 1.0	m e l o
melo 1.0	m e l o
melody 1.0	m e l o d y
melody(2) 1.0	m e l e d i
mema 1.0	m e m a
memba 1.0	m e BB a
membar 1.0	m e BB a r
membar(4) 1.0	m e BB a r i
membe 1.0	m e BB e
member 1.0	m e BB e r
member(2) 1.0	m e m b e r
member(4) 1.0	m e BB e r i
memene 1.0	m e m e n e
memkwa 1.0	m e m k w a
memorandum 1.0	m e m o r a DD u m
memorandum(2) 1.0	m e m e r a n d e m
memorandum(4) 1.0	m e m o r a DD u m u
memorial 1.0	m e m o r i a l
memorial(2) 1.0	m e m o r i e l
memorial(4) 1.0	m e m o r i a l i
memory 1.0	m e m o r y
memory(2) 1.0	m e m e r i
memphis 1.0	m e m f i s
memphis(2) 1.0	m e m f e s
memphis(4) 1.0	m e m f i s i
men 1.0	m e n
men(2) 1.0	m e n
men(4) 1.0	m e n i
mena 1.0	m e n a
menard 1.0	m e n a r d
menard(2) 1.0	m i n a r d
menard(4) 1.0	m e n a r d i
mend 1.0	m e DD
mend(2) 1.0	m e n d
mend(4) 1.0	m e DD i
mende 1.0	m e DD e
mende(2) 1.0	m e n d
mendeleo 1.0	m e DD e l e o
mendes 1.0	m e DD e s
mendes(2) 1.0	m e y n d e s
mendes(4) 1.0	m e DD e s i
meneja 1.0	m e n e j a
menejimenti 1.0	m e n e j i m e n t i
meneo 1.0	m e n e o
menezes 1.0	m e n e z e s
menezes(2) 1.0	m e y n e y z e s
menezes(4) 1.0	m e n e z e s i
mengele 1.0	m e GG e l e
mengele(2) 1.0	m e GG g e l e
mengi 1.0	m e GG i
mengine 1.0	m e GG i n e
mengineo 1.0	m e GG i n e o
mengineyo 1.0	m e GG i n e y o
mengistu 1.0	m e GG i s t u
mengistu(2) 1.0	m e GG g i s t u
mengo 1.0	m e GG o
menkhaus 1.0	m e n XX a u s
menkhaus(4) 1.0	m e n XX a u s i
meno 1.0	m e n o
mensah 1.0	m e n s a h
mensah(2) 1.0	m e n s e
menu 1.0	m e n u
menya 1.0	m e n y a
mep 1.0	m e p
mep(4) 1.0	m e p u
mepesi 1.0	m e p e s i
meps 1.0	m e p s
meps(3) 1.0	e m i p i e s
meps(4) 1.0	m e p s i
merali 1.0	m e r a l i
mercedes 1.0	m e r k e d e s
mercedes(2) 1.0	m e r s e y d i z
mercedes(4) 1.0	m e r k e d e s i
mercosur 1.0	m e r k o s u r
mercosur(2) 1.0	m e r k o s e r
mercosur(4) 1.0	m e r k o s u r i
mercury 1.0	m e r k u r y
mercury(2) 1.0	m e r k y e r i
mercy 1.0	m e r k y
mercy(2) 1.0	m e r s i
meremeta 1.0	m e r e m e t a
mererani 1.0	m e r e r a n i
merere 1.0	m e r e r e
merey 1.0	m e r e y
merida 1.0	m e r i d a
merida(2) 1.0	m e r i d e
merikebu 1.0	m e r i k e b u
merina 1.0	m e r i n a
merinyo 1.0	m e r i n y o
merkel 1.0	m e r k e l
merkel(2) 1.0	m e r k e l
merkel(4) 1.0	m e r k e l i
merowe 1.0	m e r o w e
merreikh 1.0	m e r r e i XX
merreikh(4) 1.0	m e r r e i XX i
merrey 1.0	m e r r e y
merry 1.0	m e r r y
merry(2) 1.0	m e r i
meru 1.0	m e r u
merwe 1.0	m e r w e
merwe(2) 1.0	m e r w i
mery 1.0	m e r y
mery(3) 1.0	e m i a r w a y
meryl 1.0	m e r y l
meryl(2) 1.0	m e r e l
meryl(4) 1.0	m e r y l i
meseji 1.0	m e s e j i
meshack 1.0	m e SS a k
meshack(4) 1.0	m e SS a k i
message 1.0	m e s s a g e
message(2) 1.0	m e s e j
messi 1.0	m e s s i
mesut 1.0	m e s u t
mesut(4) 1.0	m e s u t i
met 1.0	m e t
met(2) 1.0	m e t
met(4) 1.0	m e t i
meta 1.0	m e t a
metakelfin 1.0	m e t a k e l f i n
metakelfin(4) 1.0	m e t a k e l f i n i
metali 1.0	m e t a l i
metals 1.0	m e t a l s
metals(2) 1.0	m e t e l z
metals(4) 1.0	m e t a l s i
methali 1.0	m e TT a l i
methane 1.0	m e TT a n e
methane(2) 1.0	m e TT e y n
methew 1.0	m e TT e w
method 1.0	m e TT o d
method(2) 1.0	m e TT e d
method(4) 1.0	m e TT o d i
methodist 1.0	m e TT o d i s t
methodist(2) 1.0	m e TT e d e s t
methodist(4) 1.0	m e TT o d i s t i
methodius 1.0	m e TT o d i u s
methodius(4) 1.0	m e TT o d i u s i
metl 1.0	m e t l
metl(3) 1.0	e m i t i e l
metl(4) 1.0	m e t l i
metolong 1.0	m e t o l o GG
metolong(4) 1.0	m e t o l o GG i
metro 1.0	m e t r o
metro(2) 1.0	m e t r o
metu 1.0	m e t u
metui 1.0	m e t u i
meupe 1.0	m e u p e
meusi 1.0	m e u s i
mewata 1.0	m e w a t a
mexico 1.0	m e k s i k o
mexico(2) 1.0	m e k s e k o
mexime 1.0	m e k s i m e
meya 1.0	m e y a
meza 1.0	m e z a
mezani 1.0	m e z a n i
mezza 1.0	m e z z a
mfa 1.0	m f a
mfa(3) 1.0	e m e f e
mfadhaiko 1.0	m f a LL a i k o
mfadhili 1.0	m f a LL i l i
mfagizi 1.0	m f a g i z i
mfahamu 1.0	m f a h a m u
mfalila 1.0	m f a l i l a
mfalme 1.0	m f a l m e
mfamasia 1.0	m f a m a s i a
mfanano 1.0	m f a n a n o
mfano 1.0	m f a n o
mfanya 1.0	m f a n y a
mfanyabiashara 1.0	m f a n y a b i a SS a r a
mfanyabishara 1.0	m f a n y a b i SS a r a
mfanyakazi 1.0	m f a n y a k a z i
mfanye 1.0	m f a n y e
mfarakano 1.0	m f a r a k a n o
mfaransa 1.0	m f a r a n s a
mfaume 1.0	m f a u m e
mfawidhi 1.0	m f a w i LL i
mfe 1.0	m f e
mfe(3) 1.0	e m e f i
mfenesini 1.0	m f e n e s i n i
mfenyana 1.0	m f e n y a n a
mfereji 1.0	m f e r e j i
mficha 1.0	m f i CC a
mfilisi 1.0	m f i l i s i
mfinanga 1.0	m f i n a GG a
mfinde 1.0	m f i DD e
mfinyanzi 1.0	m f i n y a ZZ i
mfipa 1.0	m f i p a
mfisi 1.0	m f i s i
mfiwa 1.0	m f i w a
mfn 1.0	m f n
mfn(3) 1.0	e m e f e n
mfn(4) 1.0	m f n i
mfu 1.0	m f u
mfu(3) 1.0	e m e f y u
mfuasi 1.0	m f u a s i
mfuatano 1.0	m f u a t a n o
mfuate 1.0	m f u a t e
mfuatiliaji 1.0	m f u a t i l i a j i
mfugaji 1.0	m f u g a j i
mfugale 1.0	m f u g a l e
mfugo 1.0	m f u g o
mfuko 1.0	m f u k o
mfukoni 1.0	m f u k o n i
mfulilizo 1.0	m f u l i l i z o
mfululizo 1.0	m f u l u l i z o
mfulululizo 1.0	m f u l u l u l i z o
mfululuzo 1.0	m f u l u l u z o
mfume 1.0	m f u m e
mfume(2) 1.0	e m f u m e y
mfumko 1.0	m f u m k o
mfumo 1.0	m f u m o
mfumuko 1.0	m f u m u k o
mfungaji 1.0	m f u GG a j i
mfungamano 1.0	m f u GG a m a n o
mfungo 1.0	m f u GG o
mfungwa 1.0	m f u GG w a
mfuniko 1.0	m f u n i k o
mfupa 1.0	m f u p a
mfupi 1.0	m f u p i
mfuru 1.0	m f u r u
mfutakamba 1.0	m f u t a k a BB a
mg 1.0	m g
mg(3) 1.0	e m j i
mg(4) 1.0	m g i
mgahawa 1.0	m g a h a w a
mgahywa 1.0	m g a h y w a
mgalula 1.0	m g a l u l a
mgamba 1.0	m g a BB a
mgambo 1.0	m g a BB o
mgana 1.0	m g a n a
mganda 1.0	m g a DD a
mgandamizo 1.0	m g a DD a m i z o
mgandini 1.0	m g a DD i n i
mgando 1.0	m g a DD o
mganga 1.0	m g a GG a
mgao 1.0	m g a o
mgao(3) 1.0	e m j i e o
mgasa 1.0	m g a s a
mgassa 1.0	m g a s s a
mgata 1.0	m g a t a
mgawanyiko 1.0	m g a w a n y i k o
mgawanyo 1.0	m g a w a n y o
mgawe 1.0	m g a w e
mgawo 1.0	m g a w o
mgaya 1.0	m g a y a
mgayavanu 1.0	m g a y a v a n u
mgaywa 1.0	m g a y w a
mgaza 1.0	m g a z a
mgeja 1.0	m g e j a
mgema 1.0	m g e m a
mgendi 1.0	m g e DD i
mgeni 1.0	m g e n i
mgeta 1.0	m g e t a
mgeule 1.0	m g e u l e
mghana 1.0	m RR a n a
mgharibi 1.0	m RR a r i b i
mgimwa 1.0	m g i m w a
mgiriki 1.0	m g i r i k i
mgisa 1.0	m g i s a
mgoda 1.0	m g o d a
mgodi 1.0	m g o d i
mgodini 1.0	m g o d i n i
mgogo 1.0	m g o g o
mgogoni 1.0	m g o g o n i
mgogoro 1.0	m g o g o r o
mgoi 1.0	m g o i
mgoi(3) 1.0	e m j i o a y
mgolole 1.0	m g o l o l e
mgololo 1.0	m g o l o l o
mgomba 1.0	m g o BB a
mgombe 1.0	m g o BB e
mgombea 1.0	m g o BB e a
mgomo 1.0	m g o m o
mgomvi 1.0	m g o VV i
mgongano 1.0	m g o GG a n o
mgongo 1.0	m g o GG o
mgongolwa 1.0	m g o GG o l w a
mgongoni 1.0	m g o GG o n i
mgonja 1.0	m g o JJ a
mgonjwa 1.0	m g o JJ w a
mgosi 1.0	m g o s i
mgoyi 1.0	m g o y i
mgulani 1.0	m g u l a n i
mgullu 1.0	m g u l l u
mgumba 1.0	m g u BB a
mgumu 1.0	m g u m u
mgunda 1.0	m g u DD a
mgunduzi 1.0	m g u DD u z i
mgungira 1.0	m g u GG i r a
mguso 1.0	m g u s o
mgussi 1.0	m g u s s i
mgusu 1.0	m g u s u
mguu 1.0	m g u u
mguu(3) 1.0	e m j i y u y u
mguuni 1.0	m g u u n i
mgwao 1.0	m g w a o
mgweno 1.0	m g w e n o
mh 1.0	m h
mh(2) 1.0	e m e y CC
mh(3) 1.0	e m e j
mhadhara 1.0	m h a LL a r a
mhadhili 1.0	m h a LL i l i
mhadhiri 1.0	m h a LL i r i
mhagama 1.0	m h a g a m a
mhaiki 1.0	m h a i k i
mhaini 1.0	m h a i n i
mhakama 1.0	m h a k a m a
mhakiki 1.0	m h a k i k i
mhakikishe 1.0	m h a k i k i SS e
mhala 1.0	m h a l a
mhalifu 1.0	m h a l i f u
mhamasishaji 1.0	m h a m a s i SS a j i
mhamiaji 1.0	m h a m i a j i
mhamila 1.0	m h a m i l a
mhandishi 1.0	m h a DD i SS i
mhandisi 1.0	m h a DD i s i
mhando 1.0	m h a DD o
mhanga 1.0	m h a GG a
mhango 1.0	m h a GG o
mharibifu 1.0	m h a r i b i f u
mhariri 1.0	m h a r i r i
mhashamu 1.0	m h a SS a m u
mhasibu 1.0	m h a s i b u
mhavile 1.0	m h a v i l e
mhazini 1.0	m h a z i n i
mhegera 1.0	m h e g e r a
mhehe 1.0	m h e h e
mhemko 1.0	m h e m k o
mhenga 1.0	m h e GG a
mhesa 1.0	m h e s a
mheshimiwa 1.0	m h e SS i m i w a
mheshimwa 1.0	m h e SS i m w a
mhh 1.0	m h h
mhh(3) 1.0	e m e j e j
mhifadhi 1.0	m h i f a LL i
mhimili 1.0	m h i m i l i
mhimu 1.0	m h i m u
mhina 1.0	m h i n a
mhindi 1.0	m h i DD i
mhinzi 1.0	m h i ZZ i
mhisani 1.0	m h i s a n i
mhispania 1.0	m h i s p a n i a
mhita 1.0	m h i t a
mhitaji 1.0	m h i t a j i
mhitimu 1.0	m h i t i m u
mhlanga 1.0	m h l a GG a
mhogo 1.0	m h o g o
mhogolo 1.0	m h o g o l o
mholanzi 1.0	m h o l a ZZ i
mhonga 1.0	m h o GG a
mhongolo 1.0	m h o GG o l o
mhozya 1.0	m h o z y a
mhubiri 1.0	m h u b i r i
mhudumu 1.0	m h u d u m u
mhujumu 1.0	m h u j u m u
mhula 1.0	m h u l a
mhuni 1.0	m h u n i
mhunze 1.0	m h u ZZ e
mhunzi 1.0	m h u ZZ i
mhuri 1.0	m h u r i
mhusika 1.0	m h u s i k a
